Week,Region,State,Abbreviation,Disease,Total,Month
196613,Southeast,ALASKA,AK,HEPATITIS A,3,March
196615,Southeast,ALASKA,AK,HEPATITIS A,1,April
196616,Southeast,ALASKA,AK,HEPATITIS A,1,April
196617,Southeast,ALASKA,AK,HEPATITIS A,1,April
196619,Southeast,ALASKA,AK,HEPATITIS A,2,May
196621,Southeast,ALASKA,AK,HEPATITIS A,4,May
196622,Southeast,ALASKA,AK,HEPATITIS A,1,May
196624,Southeast,ALASKA,AK,HEPATITIS A,6,June
196626,Southeast,ALASKA,AK,HEPATITIS A,1,June
196627,Southeast,ALASKA,AK,HEPATITIS A,1,July
196628,Southeast,ALASKA,AK,HEPATITIS A,10,July
196630,Southeast,ALASKA,AK,HEPATITIS A,1,July
196633,Southeast,ALASKA,AK,HEPATITIS A,3,August
196634,Southeast,ALASKA,AK,HEPATITIS A,3,August
196636,Southeast,ALASKA,AK,HEPATITIS A,6,September
196637,Southeast,ALASKA,AK,HEPATITIS A,3,September
196638,Southeast,ALASKA,AK,HEPATITIS A,1,September
196640,Southeast,ALASKA,AK,HEPATITIS A,1,October
196641,Southeast,ALASKA,AK,HEPATITIS A,3,October
196642,Southeast,ALASKA,AK,HEPATITIS A,1,October
196643,Southeast,ALASKA,AK,HEPATITIS A,5,October
196644,Southeast,ALASKA,AK,HEPATITIS A,1,October
196646,Southeast,ALASKA,AK,HEPATITIS A,2,November
196648,Southeast,ALASKA,AK,HEPATITIS A,1,November
196649,Southeast,ALASKA,AK,HEPATITIS A,1,December
196652,Southeast,ALASKA,AK,HEPATITIS A,1,December
196604,Southeast,ALASKA,AK,MEASLES,1,January
196605,Southeast,ALASKA,AK,MEASLES,1,January
196606,Southeast,ALASKA,AK,MEASLES,5,February
196607,Southeast,ALASKA,AK,MEASLES,1,February
196608,Southeast,ALASKA,AK,MEASLES,0,February
196609,Southeast,ALASKA,AK,MEASLES,1,February
196610,Southeast,ALASKA,AK,MEASLES,8,March
196611,Southeast,ALASKA,AK,MEASLES,2,March
196612,Southeast,ALASKA,AK,MEASLES,4,March
196613,Southeast,ALASKA,AK,MEASLES,2,March
196614,Southeast,ALASKA,AK,MEASLES,24,April
196615,Southeast,ALASKA,AK,MEASLES,1,April
196616,Southeast,ALASKA,AK,MEASLES,7,April
196617,Southeast,ALASKA,AK,MEASLES,0,April
196618,Southeast,ALASKA,AK,MEASLES,3,May
196619,Southeast,ALASKA,AK,MEASLES,18,May
196620,Southeast,ALASKA,AK,MEASLES,22,May
196621,Southeast,ALASKA,AK,MEASLES,22,May
196622,Southeast,ALASKA,AK,MEASLES,0,May
196623,Southeast,ALASKA,AK,MEASLES,41,June
196624,Southeast,ALASKA,AK,MEASLES,1,June
196625,Southeast,ALASKA,AK,MEASLES,24,June
196626,Southeast,ALASKA,AK,MEASLES,2,June
196627,Southeast,ALASKA,AK,MEASLES,30,July
196628,Southeast,ALASKA,AK,MEASLES,89,July
196629,Southeast,ALASKA,AK,MEASLES,8,July
196630,Southeast,ALASKA,AK,MEASLES,14,July
196631,Southeast,ALASKA,AK,MEASLES,8,July
196632,Southeast,ALASKA,AK,MEASLES,51,August
196633,Southeast,ALASKA,AK,MEASLES,76,August
196634,Southeast,ALASKA,AK,MEASLES,0,August
196635,Southeast,ALASKA,AK,MEASLES,4,August
196636,Southeast,ALASKA,AK,MEASLES,30,September
196637,Southeast,ALASKA,AK,MEASLES,7,September
196638,Southeast,ALASKA,AK,MEASLES,15,September
196639,Southeast,ALASKA,AK,MEASLES,1,September
196640,Southeast,ALASKA,AK,MEASLES,11,October
196641,Southeast,ALASKA,AK,MEASLES,5,October
196642,Southeast,ALASKA,AK,MEASLES,11,October
196643,Southeast,ALASKA,AK,MEASLES,9,October
196644,Southeast,ALASKA,AK,MEASLES,11,October
196645,Southeast,ALASKA,AK,MEASLES,10,November
196646,Southeast,ALASKA,AK,MEASLES,11,November
196647,Southeast,ALASKA,AK,MEASLES,14,November
196648,Southeast,ALASKA,AK,MEASLES,9,November
196650,Southeast,ALASKA,AK,MEASLES,17,December
196651,Southeast,ALASKA,AK,MEASLES,10,December
196652,Southeast,ALASKA,AK,MEASLES,0,December
196605,Southeast,ALASKA,AK,RUBELLA,8,January
196606,Southeast,ALASKA,AK,RUBELLA,5,February
196607,Southeast,ALASKA,AK,RUBELLA,1,February
196608,Southeast,ALASKA,AK,RUBELLA,1,February
196609,Southeast,ALASKA,AK,RUBELLA,2,February
196610,Southeast,ALASKA,AK,RUBELLA,3,March
196611,Southeast,ALASKA,AK,RUBELLA,2,March
196612,Southeast,ALASKA,AK,RUBELLA,2,March
196613,Southeast,ALASKA,AK,RUBELLA,5,March
196614,Southeast,ALASKA,AK,RUBELLA,6,April
196615,Southeast,ALASKA,AK,RUBELLA,4,April
196616,Southeast,ALASKA,AK,RUBELLA,12,April
196617,Southeast,ALASKA,AK,RUBELLA,2,April
196618,Southeast,ALASKA,AK,RUBELLA,10,May
196619,Southeast,ALASKA,AK,RUBELLA,1,May
196620,Southeast,ALASKA,AK,RUBELLA,2,May
196621,Southeast,ALASKA,AK,RUBELLA,1,May
196623,Southeast,ALASKA,AK,RUBELLA,2,June
196625,Southeast,ALASKA,AK,RUBELLA,2,June
196626,Southeast,ALASKA,AK,RUBELLA,1,June
196627,Southeast,ALASKA,AK,RUBELLA,2,July
196628,Southeast,ALASKA,AK,RUBELLA,6,July
196631,Southeast,ALASKA,AK,RUBELLA,1,July
196632,Southeast,ALASKA,AK,RUBELLA,4,August
196634,Southeast,ALASKA,AK,RUBELLA,1,August
196635,Southeast,ALASKA,AK,RUBELLA,1,August
196639,Southeast,ALASKA,AK,RUBELLA,2,September
196640,Southeast,ALASKA,AK,RUBELLA,2,October
196641,Southeast,ALASKA,AK,RUBELLA,1,October
196643,Southeast,ALASKA,AK,RUBELLA,2,October
196644,Southeast,ALASKA,AK,RUBELLA,4,October
196645,Southeast,ALASKA,AK,RUBELLA,2,November
196647,Southeast,ALASKA,AK,RUBELLA,1,November
196648,Southeast,ALASKA,AK,RUBELLA,3,November
196650,Southeast,ALASKA,AK,RUBELLA,3,December
196651,Southeast,ALASKA,AK,RUBELLA,5,December
196601,Southwest,ARIZONA,AZ,HEPATITIS A,6,January
196602,Southwest,ARIZONA,AZ,HEPATITIS A,25,January
196603,Southwest,ARIZONA,AZ,HEPATITIS A,9,January
196604,Southwest,ARIZONA,AZ,HEPATITIS A,18,January
196605,Southwest,ARIZONA,AZ,HEPATITIS A,12,January
196606,Southwest,ARIZONA,AZ,HEPATITIS A,9,February
196607,Southwest,ARIZONA,AZ,HEPATITIS A,8,February
196608,Southwest,ARIZONA,AZ,HEPATITIS A,12,February
196609,Southwest,ARIZONA,AZ,HEPATITIS A,6,February
196610,Southwest,ARIZONA,AZ,HEPATITIS A,7,March
196611,Southwest,ARIZONA,AZ,HEPATITIS A,2,March
196612,Southwest,ARIZONA,AZ,HEPATITIS A,12,March
196613,Southwest,ARIZONA,AZ,HEPATITIS A,5,March
196614,Southwest,ARIZONA,AZ,HEPATITIS A,8,April
196615,Southwest,ARIZONA,AZ,HEPATITIS A,5,April
196616,Southwest,ARIZONA,AZ,HEPATITIS A,3,April
196618,Southwest,ARIZONA,AZ,HEPATITIS A,5,May
196619,Southwest,ARIZONA,AZ,HEPATITIS A,9,May
196620,Southwest,ARIZONA,AZ,HEPATITIS A,4,May
196621,Southwest,ARIZONA,AZ,HEPATITIS A,1,May
196622,Southwest,ARIZONA,AZ,HEPATITIS A,3,May
196623,Southwest,ARIZONA,AZ,HEPATITIS A,5,June
196624,Southwest,ARIZONA,AZ,HEPATITIS A,8,June
196625,Southwest,ARIZONA,AZ,HEPATITIS A,3,June
196626,Southwest,ARIZONA,AZ,HEPATITIS A,2,June
196627,Southwest,ARIZONA,AZ,HEPATITIS A,5,July
196628,Southwest,ARIZONA,AZ,HEPATITIS A,7,July
196629,Southwest,ARIZONA,AZ,HEPATITIS A,5,July
196630,Southwest,ARIZONA,AZ,HEPATITIS A,9,July
196631,Southwest,ARIZONA,AZ,HEPATITIS A,11,July
196632,Southwest,ARIZONA,AZ,HEPATITIS A,7,August
196633,Southwest,ARIZONA,AZ,HEPATITIS A,8,August
196634,Southwest,ARIZONA,AZ,HEPATITIS A,4,August
196635,Southwest,ARIZONA,AZ,HEPATITIS A,7,August
196637,Southwest,ARIZONA,AZ,HEPATITIS A,16,September
196638,Southwest,ARIZONA,AZ,HEPATITIS A,12,September
196639,Southwest,ARIZONA,AZ,HEPATITIS A,6,September
196640,Southwest,ARIZONA,AZ,HEPATITIS A,13,October
196641,Southwest,ARIZONA,AZ,HEPATITIS A,5,October
196642,Southwest,ARIZONA,AZ,HEPATITIS A,1,October
196643,Southwest,ARIZONA,AZ,HEPATITIS A,10,October
196644,Southwest,ARIZONA,AZ,HEPATITIS A,8,October
196645,Southwest,ARIZONA,AZ,HEPATITIS A,11,November
196646,Southwest,ARIZONA,AZ,HEPATITIS A,11,November
196647,Southwest,ARIZONA,AZ,HEPATITIS A,7,November
196648,Southwest,ARIZONA,AZ,HEPATITIS A,9,November
196649,Southwest,ARIZONA,AZ,HEPATITIS A,10,December
196650,Southwest,ARIZONA,AZ,HEPATITIS A,6,December
196651,Southwest,ARIZONA,AZ,HEPATITIS A,9,December
196652,Southwest,ARIZONA,AZ,HEPATITIS A,31,December
196601,Southwest,ARIZONA,AZ,MEASLES,98,January
196602,Southwest,ARIZONA,AZ,MEASLES,77,January
196603,Southwest,ARIZONA,AZ,MEASLES,58,January
196604,Southwest,ARIZONA,AZ,MEASLES,94,January
196605,Southwest,ARIZONA,AZ,MEASLES,161,January
196606,Southwest,ARIZONA,AZ,MEASLES,276,February
196607,Southwest,ARIZONA,AZ,MEASLES,132,February
196608,Southwest,ARIZONA,AZ,MEASLES,245,February
196609,Southwest,ARIZONA,AZ,MEASLES,316,February
196610,Southwest,ARIZONA,AZ,MEASLES,312,March
196611,Southwest,ARIZONA,AZ,MEASLES,362,March
196612,Southwest,ARIZONA,AZ,MEASLES,216,March
196613,Southwest,ARIZONA,AZ,MEASLES,275,March
196614,Southwest,ARIZONA,AZ,MEASLES,309,April
196615,Southwest,ARIZONA,AZ,MEASLES,307,April
196616,Southwest,ARIZONA,AZ,MEASLES,278,April
196617,Southwest,ARIZONA,AZ,MEASLES,227,April
196618,Southwest,ARIZONA,AZ,MEASLES,319,May
196619,Southwest,ARIZONA,AZ,MEASLES,176,May
196620,Southwest,ARIZONA,AZ,MEASLES,190,May
196621,Southwest,ARIZONA,AZ,MEASLES,136,May
196622,Southwest,ARIZONA,AZ,MEASLES,147,May
196623,Southwest,ARIZONA,AZ,MEASLES,196,June
196624,Southwest,ARIZONA,AZ,MEASLES,122,June
196625,Southwest,ARIZONA,AZ,MEASLES,62,June
196626,Southwest,ARIZONA,AZ,MEASLES,66,June
196627,Southwest,ARIZONA,AZ,MEASLES,56,July
196628,Southwest,ARIZONA,AZ,MEASLES,33,July
196629,Southwest,ARIZONA,AZ,MEASLES,20,July
196630,Southwest,ARIZONA,AZ,MEASLES,16,July
196631,Southwest,ARIZONA,AZ,MEASLES,9,July
196632,Southwest,ARIZONA,AZ,MEASLES,27,August
196633,Southwest,ARIZONA,AZ,MEASLES,10,August
196634,Southwest,ARIZONA,AZ,MEASLES,13,August
196635,Southwest,ARIZONA,AZ,MEASLES,3,August
196636,Southwest,ARIZONA,AZ,MEASLES,0,September
196637,Southwest,ARIZONA,AZ,MEASLES,7,September
196638,Southwest,ARIZONA,AZ,MEASLES,9,September
196639,Southwest,ARIZONA,AZ,MEASLES,0,September
196640,Southwest,ARIZONA,AZ,MEASLES,2,October
196641,Southwest,ARIZONA,AZ,MEASLES,10,October
196642,Southwest,ARIZONA,AZ,MEASLES,5,October
196643,Southwest,ARIZONA,AZ,MEASLES,8,October
196644,Southwest,ARIZONA,AZ,MEASLES,3,October
196645,Southwest,ARIZONA,AZ,MEASLES,5,November
196646,Southwest,ARIZONA,AZ,MEASLES,2,November
196647,Southwest,ARIZONA,AZ,MEASLES,10,November
196648,Southwest,ARIZONA,AZ,MEASLES,6,November
196650,Southwest,ARIZONA,AZ,MEASLES,11,December
196651,Southwest,ARIZONA,AZ,MEASLES,6,December
196652,Southwest,ARIZONA,AZ,MEASLES,10,December
196601,Southwest,ARIZONA,AZ,RUBELLA,29,January
196602,Southwest,ARIZONA,AZ,RUBELLA,53,January
196603,Southwest,ARIZONA,AZ,RUBELLA,35,January
196604,Southwest,ARIZONA,AZ,RUBELLA,37,January
196605,Southwest,ARIZONA,AZ,RUBELLA,162,January
196606,Southwest,ARIZONA,AZ,RUBELLA,127,February
196607,Southwest,ARIZONA,AZ,RUBELLA,101,February
196608,Southwest,ARIZONA,AZ,RUBELLA,83,February
196609,Southwest,ARIZONA,AZ,RUBELLA,114,February
196610,Southwest,ARIZONA,AZ,RUBELLA,161,March
196611,Southwest,ARIZONA,AZ,RUBELLA,150,March
196612,Southwest,ARIZONA,AZ,RUBELLA,135,March
196613,Southwest,ARIZONA,AZ,RUBELLA,82,March
196614,Southwest,ARIZONA,AZ,RUBELLA,118,April
196615,Southwest,ARIZONA,AZ,RUBELLA,130,April
196616,Southwest,ARIZONA,AZ,RUBELLA,91,April
196617,Southwest,ARIZONA,AZ,RUBELLA,75,April
196618,Southwest,ARIZONA,AZ,RUBELLA,147,May
196619,Southwest,ARIZONA,AZ,RUBELLA,79,May
196620,Southwest,ARIZONA,AZ,RUBELLA,105,May
196621,Southwest,ARIZONA,AZ,RUBELLA,50,May
196622,Southwest,ARIZONA,AZ,RUBELLA,62,May
196623,Southwest,ARIZONA,AZ,RUBELLA,87,June
196624,Southwest,ARIZONA,AZ,RUBELLA,62,June
196625,Southwest,ARIZONA,AZ,RUBELLA,16,June
196626,Southwest,ARIZONA,AZ,RUBELLA,36,June
196627,Southwest,ARIZONA,AZ,RUBELLA,17,July
196628,Southwest,ARIZONA,AZ,RUBELLA,20,July
196629,Southwest,ARIZONA,AZ,RUBELLA,22,July
196630,Southwest,ARIZONA,AZ,RUBELLA,15,July
196631,Southwest,ARIZONA,AZ,RUBELLA,18,July
196632,Southwest,ARIZONA,AZ,RUBELLA,13,August
196633,Southwest,ARIZONA,AZ,RUBELLA,9,August
196634,Southwest,ARIZONA,AZ,RUBELLA,4,August
196635,Southwest,ARIZONA,AZ,RUBELLA,6,August
196637,Southwest,ARIZONA,AZ,RUBELLA,4,September
196638,Southwest,ARIZONA,AZ,RUBELLA,4,September
196639,Southwest,ARIZONA,AZ,RUBELLA,5,September
196640,Southwest,ARIZONA,AZ,RUBELLA,2,October
196641,Southwest,ARIZONA,AZ,RUBELLA,9,October
196642,Southwest,ARIZONA,AZ,RUBELLA,6,October
196643,Southwest,ARIZONA,AZ,RUBELLA,10,October
196644,Southwest,ARIZONA,AZ,RUBELLA,5,October
196645,Southwest,ARIZONA,AZ,RUBELLA,26,November
196646,Southwest,ARIZONA,AZ,RUBELLA,3,November
196647,Southwest,ARIZONA,AZ,RUBELLA,5,November
196648,Southwest,ARIZONA,AZ,RUBELLA,9,November
196650,Southwest,ARIZONA,AZ,RUBELLA,18,December
196651,Southwest,ARIZONA,AZ,RUBELLA,2,December
196652,Southwest,ARIZONA,AZ,RUBELLA,15,December
196601,Southeast,ARKANSAS,AR,HEPATITIS A,11,January
196602,Southeast,ARKANSAS,AR,HEPATITIS A,6,January
196603,Southeast,ARKANSAS,AR,HEPATITIS A,2,January
196604,Southeast,ARKANSAS,AR,HEPATITIS A,9,January
196605,Southeast,ARKANSAS,AR,HEPATITIS A,9,January
196606,Southeast,ARKANSAS,AR,HEPATITIS A,8,February
196607,Southeast,ARKANSAS,AR,HEPATITIS A,6,February
196608,Southeast,ARKANSAS,AR,HEPATITIS A,7,February
196609,Southeast,ARKANSAS,AR,HEPATITIS A,8,February
196610,Southeast,ARKANSAS,AR,HEPATITIS A,9,March
196611,Southeast,ARKANSAS,AR,HEPATITIS A,4,March
196612,Southeast,ARKANSAS,AR,HEPATITIS A,12,March
196613,Southeast,ARKANSAS,AR,HEPATITIS A,16,March
196614,Southeast,ARKANSAS,AR,HEPATITIS A,1,April
196615,Southeast,ARKANSAS,AR,HEPATITIS A,10,April
196616,Southeast,ARKANSAS,AR,HEPATITIS A,9,April
196617,Southeast,ARKANSAS,AR,HEPATITIS A,9,April
196618,Southeast,ARKANSAS,AR,HEPATITIS A,7,May
196619,Southeast,ARKANSAS,AR,HEPATITIS A,9,May
196620,Southeast,ARKANSAS,AR,HEPATITIS A,5,May
196621,Southeast,ARKANSAS,AR,HEPATITIS A,6,May
196622,Southeast,ARKANSAS,AR,HEPATITIS A,4,May
196623,Southeast,ARKANSAS,AR,HEPATITIS A,1,June
196624,Southeast,ARKANSAS,AR,HEPATITIS A,3,June
196625,Southeast,ARKANSAS,AR,HEPATITIS A,1,June
196626,Southeast,ARKANSAS,AR,HEPATITIS A,4,June
196627,Southeast,ARKANSAS,AR,HEPATITIS A,1,July
196628,Southeast,ARKANSAS,AR,HEPATITIS A,10,July
196629,Southeast,ARKANSAS,AR,HEPATITIS A,7,July
196630,Southeast,ARKANSAS,AR,HEPATITIS A,4,July
196631,Southeast,ARKANSAS,AR,HEPATITIS A,8,July
196632,Southeast,ARKANSAS,AR,HEPATITIS A,3,August
196633,Southeast,ARKANSAS,AR,HEPATITIS A,4,August
196634,Southeast,ARKANSAS,AR,HEPATITIS A,5,August
196635,Southeast,ARKANSAS,AR,HEPATITIS A,7,August
196636,Southeast,ARKANSAS,AR,HEPATITIS A,5,September
196637,Southeast,ARKANSAS,AR,HEPATITIS A,3,September
196638,Southeast,ARKANSAS,AR,HEPATITIS A,5,September
196639,Southeast,ARKANSAS,AR,HEPATITIS A,8,September
196640,Southeast,ARKANSAS,AR,HEPATITIS A,3,October
196641,Southeast,ARKANSAS,AR,HEPATITIS A,8,October
196642,Southeast,ARKANSAS,AR,HEPATITIS A,5,October
196643,Southeast,ARKANSAS,AR,HEPATITIS A,7,October
196644,Southeast,ARKANSAS,AR,HEPATITIS A,8,October
196645,Southeast,ARKANSAS,AR,HEPATITIS A,3,November
196646,Southeast,ARKANSAS,AR,HEPATITIS A,5,November
196647,Southeast,ARKANSAS,AR,HEPATITIS A,2,November
196648,Southeast,ARKANSAS,AR,HEPATITIS A,3,November
196649,Southeast,ARKANSAS,AR,HEPATITIS A,3,December
196650,Southeast,ARKANSAS,AR,HEPATITIS A,4,December
196651,Southeast,ARKANSAS,AR,HEPATITIS A,1,December
196652,Southeast,ARKANSAS,AR,HEPATITIS A,1,December
196601,Southeast,ARKANSAS,AR,MEASLES,2,January
196602,Southeast,ARKANSAS,AR,MEASLES,16,January
196603,Southeast,ARKANSAS,AR,MEASLES,3,January
196604,Southeast,ARKANSAS,AR,MEASLES,1,January
196605,Southeast,ARKANSAS,AR,MEASLES,1,January
196606,Southeast,ARKANSAS,AR,MEASLES,1,February
196607,Southeast,ARKANSAS,AR,MEASLES,13,February
196608,Southeast,ARKANSAS,AR,MEASLES,0,February
196609,Southeast,ARKANSAS,AR,MEASLES,65,February
196610,Southeast,ARKANSAS,AR,MEASLES,0,March
196611,Southeast,ARKANSAS,AR,MEASLES,19,March
196612,Southeast,ARKANSAS,AR,MEASLES,201,March
196613,Southeast,ARKANSAS,AR,MEASLES,0,March
196614,Southeast,ARKANSAS,AR,MEASLES,53,April
196615,Southeast,ARKANSAS,AR,MEASLES,0,April
196616,Southeast,ARKANSAS,AR,MEASLES,50,April
196617,Southeast,ARKANSAS,AR,MEASLES,98,April
196618,Southeast,ARKANSAS,AR,MEASLES,5,May
196619,Southeast,ARKANSAS,AR,MEASLES,202,May
196620,Southeast,ARKANSAS,AR,MEASLES,0,May
196621,Southeast,ARKANSAS,AR,MEASLES,14,May
196622,Southeast,ARKANSAS,AR,MEASLES,0,May
196623,Southeast,ARKANSAS,AR,MEASLES,6,June
196624,Southeast,ARKANSAS,AR,MEASLES,204,June
196625,Southeast,ARKANSAS,AR,MEASLES,1,June
196626,Southeast,ARKANSAS,AR,MEASLES,11,June
196627,Southeast,ARKANSAS,AR,MEASLES,0,July
196628,Southeast,ARKANSAS,AR,MEASLES,0,July
196629,Southeast,ARKANSAS,AR,MEASLES,0,July
196630,Southeast,ARKANSAS,AR,MEASLES,0,July
196631,Southeast,ARKANSAS,AR,MEASLES,0,July
